"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Naderi M.; Gupta H.V.","Naderi, Mostafa (56167382400); Gupta, Hoshin V. (35601880000)","56167382400; 35601880000","On the Requirements for Inferring Aquifer-Scale T and S in Heterogeneous Confined Aquifers","2023","Water Resources Research","59","5","e2023WR034430","","","","0","10.1029/2023WR034430","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85160394641&doi=10.1029%2f2023WR034430&partnerID=40&md5=b3ad7bf0c65ffcd2aa5cb50b6d722216","Article","Final","","Scopus","2-s2.0-85160394641"
"Taheri M.; Ranjram M.; Craig J.R.","Taheri, Mahkameh (58292812800); Ranjram, Mark (57203604138); Craig, James R. (35222876300)","58292812800; 57203604138; 35222876300","An Upscaled Model of Fill-And-Spill Hydrological Response","2023","Water Resources Research","59","5","e2022WR033494","","","","1","10.1029/2022WR033494","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85160404952&doi=10.1029%2f2022WR033494&partnerID=40&md5=621c1e11d835e2b05f42957e7b8aa1c2","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85160404952"
"Jiang Y.; Hu X.; Liang H.; Ning P.; Fan X.","Jiang, Yuanjun (55838169900); Hu, Xiaobo (57206202684); Liang, Heng (57202259510); Ning, Po (57695742200); Fan, Xiaoyi (36668557800)","55838169900; 57206202684; 57202259510; 57695742200; 36668557800","A Physically Based Model for the Sequential Evolution Analysis of Rainfall-Induced Shallow Landslides in a Catchment","2023","Water Resources Research","59","5","e2022WR032716","","","","0","10.1029/2022WR032716","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85160393678&doi=10.1029%2f2022WR032716&partnerID=40&md5=e53cc08f03076bc5cf5c70ca69589856","Article","Final","","Scopus","2-s2.0-85160393678"
"Luo Y.; Zhang Y.; Yang K.; Zhou X.; Peng Z.","Luo, Yi (55712582900); Zhang, Yang (57224621208); Yang, Kun (57205570364); Zhou, Xiaolu (7410091284); Peng, Zongqi (57222157940)","55712582900; 57224621208; 57205570364; 7410091284; 57222157940","Urban Surface Thermal Runoff Generation Mechanism and Scenario Simulation","2023","Water Resources Research","59","4","e2022WR033881","","","","1","10.1029/2022WR033881","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85153846191&doi=10.1029%2f2022WR033881&partnerID=40&md5=def3eb1ad4cd71361474e904e7e4280e","Article","Final","","Scopus","2-s2.0-85153846191"
"Croghan D.; Ala-Aho P.; Lohila A.; Welker J.; Vuorenmaa J.; Kløve B.; Mustonen K.-R.; Aurela M.; Marttila H.","Croghan, Danny (57204773684); Ala-Aho, Pertti (53163366000); Lohila, Annalea (6506416482); Welker, Jeffrey (7005803643); Vuorenmaa, Jussi (6602151929); Kløve, Bjørn (6602979743); Mustonen, Kaisa-Riikka (57189442784); Aurela, Mika (6701461735); Marttila, Hannu (24554532300)","57204773684; 53163366000; 6506416482; 7005803643; 6602151929; 6602979743; 57189442784; 6701461735; 24554532300","Coupling of Water-Carbon Interactions During Snowmelt in an Arctic Finland Catchment","2023","Water Resources Research","59","5","e2022WR032892","","","","0","10.1029/2022WR032892","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85160428628&doi=10.1029%2f2022WR032892&partnerID=40&md5=a0dc138a03856421bb373a0f77144233","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85160428628"
"Shaughnessy A.R.; Forgeng M.J.; Wen T.; Gu X.; Hemingway J.D.; Brantley S.L.","Shaughnessy, Andrew R. (57192943287); Forgeng, Michael J. (58292239800); Wen, Tao (56528931900); Gu, Xin (57141368700); Hemingway, Jordon D. (56646040100); Brantley, Susan L. (7004988230)","57192943287; 58292239800; 56528931900; 57141368700; 56646040100; 7004988230","Linking Stream Chemistry to Subsurface Redox Architecture","2023","Water Resources Research","59","5","e2022WR033445","","","","0","10.1029/2022WR033445","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85160407543&doi=10.1029%2f2022WR033445&partnerID=40&md5=52917fb1a8b26547b668a69ce29b4bcb","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85160407543"
"Yue Q.; Zhan X.; Guo M.; Zhao J.; Liu B.","Yue, Qiuxing (57216739426); Zhan, Xiaoyun (35867736000); Guo, Minghang (57195457289); Zhao, Jun (57189581047); Liu, Baoyuan (22135583100)","57216739426; 35867736000; 57195457289; 57189581047; 22135583100","A Portable Device for On-Site Measurement of Sediment Concentration Through Volume-Mass Replacement","2023","Water Resources Research","59","4","e2022WR033584","","","","0","10.1029/2022WR033584","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85153880391&doi=10.1029%2f2022WR033584&partnerID=40&md5=70b4839fbbb45089e5c59d90cb404a1e","Article","Final","","Scopus","2-s2.0-85153880391"
"Cheng Z.; Zhang J.; Yu B.; Chappell N.A.; van Meerveld H.J.; Bruijnzeel L.A.","Cheng, Zhuo (57077497800); Zhang, Jun (36549747300); Yu, Bofu (55851403600); Chappell, Nick A. (7005709386); van Meerveld, H.J. (57351235900); Bruijnzeel, L. Adrian (56702490400)","57077497800; 36549747300; 55851403600; 7005709386; 57351235900; 56702490400","Stormflow Response and “Effective” Hydraulic Conductivity of a Degraded Tropical Imperata Grassland Catchment as Evaluated With Two Infiltration Models","2023","Water Resources Research","59","5","e2022WR033625","","","","0","10.1029/2022WR033625","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85160399663&doi=10.1029%2f2022WR033625&partnerID=40&md5=2ec52da1be5c6e1c8661a337c837f847","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85160399663"
"Gardiya Weligamage H.; Fowler K.; Peterson T.J.; Saft M.; Peel M.C.; Ryu D.","Gardiya Weligamage, Hansini (58040115700); Fowler, Keirnan (57164455300); Peterson, Tim J. (26533199700); Saft, Margarita (56598124500); Peel, Murray C. (7005574002); Ryu, Dongryeol (57484743000)","58040115700; 57164455300; 26533199700; 56598124500; 7005574002; 57484743000","Partitioning of Precipitation Into Terrestrial Water Balance Components Under a Drying Climate","2023","Water Resources Research","59","5","e2022WR033538","","","","0","10.1029/2022WR033538","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85160416089&doi=10.1029%2f2022WR033538&partnerID=40&md5=7b3dca0af99d5b5b8223352e8b2522de","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85160416089"
"Han P.; Long D.; Zhao F.; Slater L.J.","Han, Pengfei (57194500504); Long, Di (7401958053); Zhao, Fanyu (57210115535); Slater, Louise J. (14030760900)","57194500504; 7401958053; 57210115535; 14030760900","Response of Two Glaciers in Different Climate Settings of the Tibetan Plateau to Climate Change Through Year 2100 Using a Hybrid Modeling Approach","2023","Water Resources Research","59","4","e2022WR033618","","","","0","10.1029/2022WR033618","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85153859851&doi=10.1029%2f2022WR033618&partnerID=40&md5=5746ab474e5f4f68e2753cc79c69deb2","Article","Final","","Scopus","2-s2.0-85153859851"
"Seigneur N.; Socié A.; Mayer K.U.","Seigneur, Nicolas (57193497968); Socié, Adrien (57223238452); Mayer, K. Ulrich (35502075000)","57193497968; 57223238452; 35502075000","A Compositional Global Implicit Approach for Modeling Coupled Multicomponent Reactive Transport","2023","Water Resources Research","59","5","e2021WR031774","","","","0","10.1029/2021WR031774","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85160395003&doi=10.1029%2f2021WR031774&partnerID=40&md5=8c94ccd4218a39dfee90afe9bc9d9898","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85160395003"
"Tang G.; Clark M.P.; Knoben W.J.M.; Liu H.; Gharari S.; Arnal L.; Beck H.E.; Wood A.W.; Newman A.J.; Papalexiou S.M.","Tang, Guoqiang (56048613800); Clark, Martyn P. (35453194100); Knoben, Wouter J. M. (57203268290); Liu, Hongli (56645937200); Gharari, Shervan (37115425300); Arnal, Louise (57190733775); Beck, Hylke E. (23011510400); Wood, Andrew W. (57203777512); Newman, Andrew J. (36165716200); Papalexiou, Simon Michael (13403908800)","56048613800; 35453194100; 57203268290; 56645937200; 37115425300; 57190733775; 23011510400; 57203777512; 36165716200; 13403908800","The Impact of Meteorological Forcing Uncertainty on Hydrological Modeling: A Global Analysis of Cryosphere Basins","2023","Water Resources Research","59","6","e2022WR033767","","","","0","10.1029/2022WR033767","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85162168591&doi=10.1029%2f2022WR033767&partnerID=40&md5=7fde64b0e1687abff27eae19fe161c47","Article","Final","","Scopus","2-s2.0-85162168591"
