"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Publisher","Document Type","Publication Stage","Open Access","Source","EID"
"Wan X.; Farmani R.; Keedwell E.","Wan, Xi (57837606300); Farmani, Raziyeh (8585125300); Keedwell, Edward (8367205700)","57837606300; 8585125300; 8367205700","Gradual Leak Detection in Water Distribution Networks Based on Multistep Forecasting Strategy","2023","Journal of Water Resources Planning and Management","149","8","04023035-1","","","","0","10.1061/JWRMD5.WRENG-6001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85161209489&doi=10.1061%2fJWRMD5.WRENG-6001&partnerID=40&md5=5cf0f02119fbf2f5b026e2a481a019f4","American Society of Civil Engineers (ASCE)","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85161209489"
"Farghadan A.; Zamani M.S.; Ghazizadeh M.J.","Farghadan, Azim (57193745469); Zamani, Morteza Saheb (57204277696); Ghazizadeh, Mohammadreza Jalili (57194578759)","57193745469; 57204277696; 57194578759","Steady-State Hydraulic Analysis Based on Cellular Automata Using a Parallel Paradigm","2022","Journal of Water Resources Planning and Management","148","11","04022062","","","","0","10.1061/(ASCE)WR.1943-5452.0001621","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138401553&doi=10.1061%2f%28ASCE%29WR.1943-5452.0001621&partnerID=40&md5=cd2c6b96739a5b89cd96d1d6e52304f5","American Society of Civil Engineers (ASCE)","Article","Final","","Scopus","2-s2.0-85138401553"
"Josey B.M.; Buchberger S.G.; Gong J.","Josey, Brendan M. (57963641000); Buchberger, Steven G. (7004042155); Gong, Jinzhe (55355613100)","57963641000; 7004042155; 55355613100","Comparing Actual and Designed Water Demand in Australian Multilevel Residential Buildings","2023","Journal of Water Resources Planning and Management","149","1","05022013","","","","0","10.1061/(ASCE)WR.1943-5452.0001625","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141835279&doi=10.1061%2f%28ASCE%29WR.1943-5452.0001625&partnerID=40&md5=3366e2b96a2ee6b2cff3062ee38660f0","American Society of Civil Engineers (ASCE)","Article","Final","","Scopus","2-s2.0-85141835279"
"Vrachimis S.G.; Eliades D.G.; Taormina R.; Kapelan Z.; Ostfeld A.; Liu S.; Kyriakou M.; Pavlou P.; Qiu M.; Polycarpou M.M.","Vrachimis, Stelios G. (56521514700); Eliades, Demetrios G. (15057672400); Taormina, Riccardo (36609357000); Kapelan, Zoran (8273940200); Ostfeld, Avi (7005595203); Liu, Shuming (23097654600); Kyriakou, Marios (25928467500); Pavlou, Pavlos (57213759254); Qiu, Mengning (57204832780); Polycarpou, Marios M. (7006251578)","56521514700; 15057672400; 36609357000; 8273940200; 7005595203; 23097654600; 25928467500; 57213759254; 57204832780; 7006251578","Battle of the Leakage Detection and Isolation Methods","2022","Journal of Water Resources Planning and Management","148","12","04022068","","","","9","10.1061/(ASCE)WR.1943-5452.0001601","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139119152&doi=10.1061%2f%28ASCE%29WR.1943-5452.0001601&partnerID=40&md5=7718b98880002a0c20f0ab5afefa1043","American Society of Civil Engineers (ASCE)","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85139119152"
"Wang J.; Rosenberg D.E.","Wang, Jian (57728303400); Rosenberg, David E. (8577634300)","57728303400; 8577634300","Adapting Colorado River Basin Depletions to Available Water to Live within Our Means","2023","Journal of Water Resources Planning and Management","149","7","04023026","","","","0","10.1061/JWRMD5.WRENG-5555","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159486755&doi=10.1061%2fJWRMD5.WRENG-5555&partnerID=40&md5=46bc7ec4e71aa1b5df891c9d86890ac6","American Society of Civil Engineers (ASCE)","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85159486755"
"Marks N.K.; Hosseiny H., Ph.d.; Bill V.P.; Ahn K.L.; Crimmins M.C.; Kremer P., Ph.d.; Smith V.B., Ph.d., A.m.asce","Marks, Nicole K. (57869321500); Hosseiny, Hossein (57196052555); Bill, Victoria P. (57870070900); Ahn, Kirsten L. (57869624400); Crimmins, Michael C. (57211207739); Kremer, Peleg (55796631300); Smith, Virginia B. (37084039400)","57869321500; 57196052555; 57870070900; 57869624400; 57211207739; 55796631300; 37084039400","Spatial Integration of Urban Runoff Modeling, Heat, and Social Vulnerability for Blue-Green Infrastructure Planning and Management","2022","Journal of Water Resources Planning and Management","148","11","05022007-1","","","","0","10.1061/(ASCE)WR.1943-5452.0001593","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137101601&doi=10.1061%2f%28ASCE%29WR.1943-5452.0001593&partnerID=40&md5=6d916052cf24e3ebd1fee4770aacc455","American Society of Civil Engineers (ASCE)","Article","Final","","Scopus","2-s2.0-85137101601"
"Duan Y.; Zhou S.; He J.; Bai M.","Duan, Yeqing (57694985700); Zhou, Shenbei (23479032500); He, Jiangping (57892529000); Bai, Minghao (56608683100)","57694985700; 23479032500; 57892529000; 56608683100","Effects of Permanent and Temporary Water-Right Payments on Balancing Agricultural and Ecological Interests: A Case Study of Hami Prefecture in Northwestern China","2022","Journal of Water Resources Planning and Management","148","11","04022058-1","","","","0","10.1061/(ASCE)WR.1943-5452.0001620","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138217102&doi=10.1061%2f%28ASCE%29WR.1943-5452.0001620&partnerID=40&md5=35ec8b6c694e2a56db0236ba86fb0124","American Society of Civil Engineers (ASCE)","Article","Final","","Scopus","2-s2.0-85138217102"
"Rapp A.H.; Capener A.M.; Sowby R.B.","Rapp, Alyson H. (58260844200); Capener, Annelise M. (58170655900); Sowby, Robert B. (56736830000)","58260844200; 58170655900; 56736830000","Adoption of Artificial Intelligence in Drinking Water Operations: A Survey of Progress in the United States","2023","Journal of Water Resources Planning and Management","149","7","06023002","","","","0","10.1061/JWRMD5.WRENG-5870","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159679829&doi=10.1061%2fJWRMD5.WRENG-5870&partnerID=40&md5=7babcacbe16c84962200192db7b00f58","American Society of Civil Engineers (ASCE)","Article","Final","","Scopus","2-s2.0-85159679829"
"Grigg N.S.","Grigg, Neil S. (7005653169)","7005653169","How State Governments Plan and Integrate Water Resources Management Programs","2023","Journal of Water Resources Planning and Management","149","3","04023001","","","","1","10.1061/JWRMD5.WRENG-5925","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85145775947&doi=10.1061%2fJWRMD5.WRENG-5925&partnerID=40&md5=2cf364ebec1fdba44132b8ce9a03f566","American Society of Civil Engineers (ASCE)","Article","Final","","Scopus","2-s2.0-85145775947"
"Cao R.; Feng P.; Han Y.; Liu Z.; Huang X.; Li F.","Cao, Runxiang (56818473300); Feng, Ping (55638059500); Han, Yuping (8861913200); Liu, Zhongpei (35210594800); Huang, Xiaodong (57211002555); Li, Fawen (18234145800)","56818473300; 55638059500; 8861913200; 35210594800; 57211002555; 18234145800","A Flood-Attenuating Impervious Surface Layout Planning Framework: Integrated Storm Water Management Model with Harmony Search","2023","Journal of Water Resources Planning and Management","149","7","04023025","","","","0","10.1061/JWRMD5.WRENG-5988","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159064377&doi=10.1061%2fJWRMD5.WRENG-5988&partnerID=40&md5=3a6dc36400d74917b78229d4e5cdbdcc","American Society of Civil Engineers (ASCE)","Article","Final","","Scopus","2-s2.0-85159064377"
